actorid,name,sex,fname,lname
4,"$hort, Too",M,Too,hort
16,"'Bear'Boyd, Steven",M,Steven,BearBoyd
28,"'Dead End' Kids, The",M,The,End
566,"Aaby, Kristian",M,Kristian,Aaby
580,Aadil,M,Aadil,
636,"Aaker, Lee",M,Lee,Aaker
769,"Aamodt, Thor Michael",M,Thor,Aamodt
797,"Aar, Jim",M,Jim,Aar
802,"Aaran, Abraxas",M,Abraxas,Aaran
808,"Aard, Frank J.",M,Frank,Aard
817,"Aardvark Bragpuss, Fritz",M,Fritz,Bragpuss
851,"Aarniokoski, Douglas",M,Douglas,Aarniokoski
888,"Aaron, Bob (I)",M,Bob,Aaron
894,"Aaron, Chad (I)",M,Chad,Aaron
923,"Aaron, James (I)",M,James,Aaron
962,"Aaron, Sam (I)",M,Sam,Aaron
978,"Aaron, Victor (I)",M,Victor,Aaron
989,"Aarons, Allan",M,Allan,Aarons
1143,"Aasland, Derek",M,Derek,Aasland
1276,"Abadal, Ignasi",M,Ignasi,Abadal
1304,"Abadia, Oscar",M,Oscar,Abadia
1348,"Abadia, Julio",M,Julio,Abadia
1391,"Abakaz, Suvit",M,Suvit,Abakaz
1517,"Abascal, Paul",M,Paul,Abascal
1535,"Abasolo, Roland T.",M,Roland,Abasolo
1554,"Abatantuono, Diego",M,Diego,Abatantuono
1556,"Abatcha, Saidou",M,Saidou,Abatcha
1583,"Abatemarco, Tony",M,Tony,Abatemarco
1588,"Abatiell, Robert",M,Robert,Abatiell
1595,"Abattucci, Serge",M,Serge,Abattucci
1710,"Abbas, Abdullah",M,Abdullah,Abbas
1805,"Abbasi, Riz",M,Riz,Abbasi
1923,"Abbey, Ian",M,Ian,Abbey
1927,"Abbey, John",M,John,Abbey
1929,"Abbey, Joshua",M,Joshua,Abbey
1930,"Abbey, Leo",M,Leo,Abbey
1982,"Abbot, Bernie",M,Bernie,Abbot
1993,"Abbot, Jerry",M,Jerry,Abbot
2000,"Abbot, Paul",M,Paul,Abbot
2007,"Abbot, Tommy",M,Tommy,Abbot
2036,"Abbott, Bruce (I)",M,Bruce,Abbott
2039,"Abbott, Bud",M,Bud,Abbott
2060,"Abbott, Dalton",M,Dalton,Abbott
2065,"Abbott, David (I)",M,David,Abbott
2085,"Abbott, Frankie",M,Frankie,Abbott
2117,"Abbott, Jamie (I)",M,Jamie,Abbott
2131,"Abbott, John (I)",M,John,Abbott
2132,"Abbott, John (II)",M,John,Abbott
2154,"Abbott, Mark (I)",M,Mark,Abbott
2177,"Abbott, Paul (I)",M,Paul,Abbott
