directorid,name,rate,gross,num,fname,lname
67,"Aalmuhammed, Jefri",7.0,42952.0,1,Jefri,Aalmuhammed
92,"Aarniokoski, Douglas",4.3,12801190.0,1,Douglas,Aarniokoski
284,"Abbott, George (I)",6.8,0.0,1,George,Abbott
708,"Abraham, Adam (I)",6.8,33031.0,1,Adam,Abraham
746,"Abrahams, Jim",26.2,213481148.0,4,Jim,Abrahams
836,"Abramson, Neil",3.0,9247881.0,1,Neil,Abramson
947,"Abugov, Jeff",6.0,0.0,1,Jeff,Abugov
1151,"Ackerman, Robert Allan",6.1,1607319.0,1,Robert,Ackerman
1756,"Adetuyi, Robert",4.1,1244676.0,1,Robert,Adetuyi
1836,"Adler, Gilbert (I)",5.0,5587855.0,1,Gilbert,Adler
1851,"Adler, Lou",6.8,41590893.0,1,Lou,Adler
3134,"Akerman, Chantal",5.9,243750.0,1,Chantal,Akerman
3707,"Albacete, Alfonso",5.6,1066832.0,1,Alfonso,Albacete
4164,"Aldrich, Robert (I)",22.8,54300000.0,3,Robert,Aldrich
4451,"Alexander, Scott (I)",5.3,7027345.0,1,Scott,Alexander
4621,"Algar, James",22.3,384237941.0,3,James,Algar
4637,"Algrant, Daniel",5.6,1038959.0,1,Daniel,Algrant
4930,"Allcroft, Britt",2.9,15911333.0,1,Britt,Allcroft
4997,"Allen, Corey (I)",4.1,0.0,1,Corey,Allen
5049,"Allen, Irwin (I)",17.2,264850.0,3,Irwin,Allen
5088,"Allen, Kevin (I)",12.4,259765.0,2,Kevin,Allen
5185,"Allen, Woody",145.4,283179015.0,20,Woody,Allen
5201,"Allers, Roger",8.4,945578747.0,1,Roger,Allers
5308,"Allouache, Merzak",6.2,0.0,1,Merzak,Allouache
5425,"Almereyda, Michael",11.6,2015683.0,2,Michael,Almereyda
5442,"Almodóvar, Pedro",42.8,24322117.0,6,Pedro,Almodvar
5763,"Altieri, Kevin",7.6,5588699.0,1,Kevin,Altieri
5798,"Altman, Robert (I)",80.5,181768600.0,12,Robert,Altman
6057,"Alves, Joe (I)",3.5,87987055.0,1,Joe,Alves
6301,"Amateau, Rod",2.7,1576615.0,1,Rod,Amateau
6429,"Amelio, Gianni",7.4,4788331.0,1,Gianni,Amelio
6458,"Amenábar, Alejandro",7.8,368234.0,1,Alejandro,Amenbar
6523,"Amiel, Jon",24.8,398358068.0,4,Jon,Amiel
6981,"Anders, Allison",24.8,8366223.0,4,Allison,Anders
7117,"Anderson, Brad (II)",6.5,3386698.0,1,Brad,Anderson
7212,"Anderson, J. Todd",5.2,0.0,1,J,Anderson
7309,"Anderson, Lindsay (I)",7.6,0.0,1,Lindsay,Anderson
7335,"Anderson, Michael (I)",6.8,25000000.0,1,Michael,Anderson
7365,"Anderson, Paul Thomas",23.1,91695753.0,3,Paul,Anderson
7366,"Anderson, Paul W.S.",17.3,169269162.0,3,Paul,Anderson
7387,"Anderson, Robert (XVII)",0.0,0.0,1,Robert,Anderson
7456,"Anderson, Wes (I)",14.8,18136932.0,2,Wes,Anderson
7682,"Andreef, Christina (I)",6.4,11132.0,1,Christina,Andreef
8157,"Angelo, Yves",6.8,734406.0,1,Yves,Angelo
8168,"Angelopoulos, Theodoros",7.4,106486.0,1,Theodoros,Angelopoulos
8171,"Angelou, Maya",6.7,5662985.0,1,Maya,Angelou
8343,"Annakin, Ken",14.7,50000000.0,2,Ken,Annakin
8349,"Annaud, Jean-Jacques",28.2,291055898.0,4,Jean Jacques,Annaud
8468,"Anspaugh, David",20.6,53846745.0,3,David,Anspaugh
8685,"Antonijevic, Predrag",7.1,12903.0,1,Predrag,Antonijevic
8702,"Antonioni, Michelangelo",14.4,20000000.0,2,Michelangelo,Antonioni
9131,"Apted, Michael",24.5,429426530.0,4,Michael,Apted
9273,"Araki, Gregg",16.6,332376.0,3,Gregg,Araki
9314,"Aranda, Vicente",5.9,188789.0,1,Vicente,Aranda
9381,"Arau, Alfonso",13.4,71678007.0,2,Alfonso,Arau
9494,"Arbuckle, Roscoe 'Fatty'",6.4,0.0,1,Roscoe,Arbuckle
9510,"Arcand, Denys",6.5,953755.0,1,Denys,Arcand
9679,"Ardolino, Emile",12.6,445554274.0,2,Emile,Ardolino
9836,"Argento, Dario",6.6,0.0,1,Dario,Argento
10177,"Armitage, George",7.3,28014536.0,1,George,Armitage
10238,"Armstrong, Gillian",13.7,51592305.0,2,Gillian,Armstrong
10292,"Armstrong, Samuel (I)",22.5,293363371.0,3,Samuel,Armstrong
10450,"Arnold, Jack (I)",19.8,1300000.0,3,Jack,Arnold
10484,"Arnold, Newt",6.5,11806119.0,1,Newt,Arnold
10582,"Aronofsky, Darren",15.9,10580970.0,2,Darren,Aronofsky
10722,"Arrick, Larry",5.0,0.0,1,Larry,Arrick
10892,"Arteta, Miguel",12.0,1643173.0,2,Miguel,Arteta
11239,"Ashby, Hal",44.2,90177511.0,6,Hal,Ashby
11282,"Asher, John (I)",5.3,81897.0,1,John,Asher
11290,"Asher, William (I)",14.3,0.0,3,William,Asher
11324,"Ashley, Christopher (III)",6.2,3487767.0,1,Christopher,Ashley
11566,"Asquith, Anthony",14.3,0.0,2,Anthony,Asquith
11602,"Assayas, Olivier",6.9,36662.0,1,Olivier,Assayas
12018,"Attenborough, Richard",21.0,93076243.0,3,Richard,Attenborough
12251,"August, Bille",20.1,22359219.0,3,Bille,August
12394,"Auster, Paul",20.0,9625429.0,3,Paul,Auster
12439,"Austin, Michael (I)",5.5,3021629.0,1,Michael,Austin
12546,"Avary, Roger",6.4,418953.0,1,Roger,Avary
12551,"Avati, Pupi",6.1,89263.0,1,Pupi,Avati
12677,"Avildsen, John G.",31.7,569194938.0,5,John,Avildsen
12720,"Avnet, Jon",25.6,170724941.0,4,Jon,Avnet
12931,"Aykroyd, Dan",4.4,8479793.0,1,Dan,Aykroyd
12945,"Aylott, David (I)",0.0,0.0,1,David,Aylott
13312,"Babayan, Agasi",7.9,0.0,1,Agasi,Babayan
13331,"Babbit, Jamie",6.2,2595216.0,1,Jamie,Babbit
13518,"Bach, Jean (I)",7.4,527274.0,1,Jean,Bach
13745,"Badham, John",34.9,196467268.0,6,John,Badham
13841,"Baer Jr., Max",4.8,0.0,1,Max,
14111,"Baichwal, Jennifer",7.2,9188.0,1,Jennifer,Baichwal
14131,"Baigelman, Steven (II)",5.3,3102672.0,1,Steven,Baigelman
14198,"Bailey, Fenton",7.0,1025234.0,1,Fenton,Bailey
14380,"Baird, Stuart",12.7,222973170.0,2,Stuart,Baird
14569,"Baker, Graham (I)",11.5,30787918.0,2,Graham,Baker
14624,"Baker, Marvin",3.8,0.0,1,Marvin,Baker
14663,"Baker, Roy Ward",21.2,0.0,3,Roy,Baker
14791,"Bakshi, Ralph",12.7,36471420.0,2,Ralph,Bakshi
14824,"Balaban, Bob",4.9,3335984.0,1,Bob,Balaban
14901,"Balasko, Josiane",6.2,1400000.0,1,Josiane,Balasko
15061,"Baldwin, Craig (I)",6.9,0.0,1,Craig,Baldwin
15089,"Baldwin, Peter (I)",4.8,3999612.0,1,Peter,Baldwin
15282,"Ballard, Carroll",14.1,52075756.0,2,Carroll,Ballard
15635,"Bancroft, Tony",7.3,236918403.0,1,Tony,Bancroft
15640,"Band, Charles",3.0,7000000.0,1,Charles,Band
15661,"Banderas, Antonio",5.9,1954202.0,1,Antonio,Banderas
15725,"Banfield, George J.",0.0,0.0,1,George,Banfield
16085,"Baran, Jack",4.3,1176982.0,1,Jack,Baran
16157,"Barba, Norberto",3.8,4932915.0,1,Norberto,Barba
16200,"Barbato, Randy",7.0,1025234.0,1,Randy,Barbato
16458,"Barclay, Paris",6.4,39255889.0,1,Paris,Barclay
16493,"Bardem, Miguel",5.6,1066832.0,1,Miguel,Bardem
16692,"Barker, Clive (I)",12.8,27221489.0,2,Clive,Barker
16728,"Barker, Mike (I)",6.1,25651.0,1,Mike,Barker
17382,"Barreto, Bruno",18.4,1822608.0,3,Bruno,Barreto
17453,"Barrett, Shirley",6.9,579337.0,1,Shirley,Barrett
17579,"Barron, Steve",16.9,171636259.0,3,Steve,Barron
17680,"Barry, John (III)",4.7,0.0,1,John,Barry
17871,"Bartkowiak, Andrzej",5.9,55973336.0,1,Andrzej,Bartkowiak
17976,"Barton, Charles (I)",13.6,0.0,2,Charles,Barton
18080,"Barylli, Gabriel",4.3,0.0,1,Gabriel,Barylli
18698,"Battersby, Bradley",5.9,64579.0,1,Bradley,Battersby
18859,"Bauer, Tristán",7.9,369018.0,1,Tristn,Bauer
18978,"Baumbach, Noah",13.2,992295.0,2,Noah,Baumbach
19104,"Bava, Mario",40.8,344177.0,6,Mario,Bava
19141,"Baxley, Craig R.",4.8,20257000.0,1,Craig,Baxley
19163,"Baxter, Jack (I)",7.0,42952.0,1,Jack,Baxter
19189,"Bay, Michael (I)",20.4,1019509788.0,3,Michael,Bay
19423,"Beaird, David",5.2,4676892.0,1,David,Beaird
19608,"Beatty, Warren (I)",26.9,225259525.0,4,Warren,Beatty
19659,"Beaudine, William",7.2,966878.0,1,William,Beaudine
19702,"Beaumont, Harry",6.3,4366000.0,1,Harry,Beaumont
19935,"Becker, Harold",18.2,170944636.0,3,Harold,Becker
20202,"Beebe Jr., Ford",7.8,25363371.0,1,Ford,
20255,"Beeman, Greg",5.1,7919823.0,1,Greg,Beeman
20504,"Beineix, Jean-Jacques",7.1,108372.0,1,Jean Jacques,Beineix
20525,"Beitel, Garry",6.9,0.0,1,Garry,Beitel
20577,"Bekolo, Jean-Pierre",6.9,0.0,1,Jean Pierre,Bekolo
20742,"Bell, Angelo",6.9,0.0,1,Angelo,Bell
21219,"Belvaux, Rémy",7.5,205569.0,1,Rmy,Belvaux
21249,"Bemberg, María Luisa",13.6,301678.0,2,Mara,Bemberg
21337,"Benabib, Roberto",5.9,0.0,1,Roberto,Benabib
21466,"Bender, Jack",4.6,20560255.0,1,Jack,Bender
21529,"Benedek, Laslo",6.5,0.0,1,Laslo,Benedek
21574,"Benegal, Shyam",0.0,0.0,1,Shyam,Benegal
21654,"Benigni, Roberto",15.6,265925264.0,2,Roberto,Benigni
21715,"Benjamin, Mark (I)",7.9,10791.0,1,Mark,Benjamin
21725,"Benjamin, Richard (I)",28.8,205565417.0,5,Richard,Benjamin
21803,"Bennett, Bill (I)",5.0,10700000.0,1,Bill,Bennett
22000,"Benoit, Nicole (II)",7.4,0.0,1,Nicole,Benoit
22086,"Benson, Michael (II)",8.5,0.0,1,Michael,Benson
22188,"Benton, Robert (I)",33.6,193871012.0,5,Robert,Benton
22397,"Beresford, Bruce",57.6,364854433.0,9,Bruce,Beresford
22477,"Berg, Peter (I)",6.2,9801782.0,1,Peter,Berg
22622,"Bergeron, Bibo",6.6,50802661.0,1,Bibo,Bergeron
22694,"Bergman, Andrew (I)",20.9,183512473.0,4,Andrew,Bergman
22707,"Bergman, Ingmar",24.4,5647796.0,3,Ingmar,Bergman
22862,"Berkeley, Busby",6.9,0.0,1,Busby,Berkeley
22912,"Berkowitz, Myles",4.8,536767.0,1,Myles,Berkowitz
22953,"Berliner, Alain",12.5,3049582.0,2,Alain,Berliner
22962,"Berlinger, Joe",8.2,0.0,1,Joe,Berlinger
23000,"Berman, Ted",13.4,44845680.0,2,Ted,Berman
23201,"Bernds, Edward (I)",5.6,0.0,1,Edward,Bernds
