movieid,writerid,addition,additions
1672052,29337,"(screenplay)  <2,3,1>",screenplay
1672052,88822,"(additional material) (from ""The Breaker"")",additional material
1672052,148525,"(screenplay)  <2,1,1>",screenplay
1672052,313071,"(play ""'Breaker' Morant"")  <1,1,1>",play
1672052,350279,"(screenplay)  <2,2,1>",screenplay
1672111,159772,"(written by)  <2,1,2>",written by
1672111,159800,"(characters)  <1,1,1>",characters
1672111,159800,"(written by)  <2,1,1>",written by
1672580,161018,"(written by)  <1,1,1>",written by
1672716,266364,"(play)  <1,1,1>",play
1672716,266364,"(screenplay)  <2,1,1>",screenplay
1672946,251776,(as Tyler Moore),
1673647,284865,"(adaptation: from the ""Ballets of Paris"")  <1,1,1>",adaptation
1673658,207393,,
1673848,237155,"(written by)  <1,1,1>",written by
1673848,332709,"(play ""The Taming of the Shrew"") (uncredited)  <2,1,1>",play
1673848,342147,"(written by)  <1,1,2>",written by
1674388,164419,"(screenplay)  <2,1,1>",screenplay
1674388,341763,"(novel ""The One Hundred and One Dalmations"")  <1,1,1>",novel
1674737,312208,"(story and screenplay)  <1,1,1>",story and screenplay
1677011,156260,"(written by)  <1,1,1>",written by
1677258,132090,"<2,1,1>",
1677258,380731,"(letter)  <1,1,1>",letter
1677346,30025,(writer),writer
1677472,379054,(story),story
1677516,204363,"(written by)  <1,1,1>",written by
1677631,66835,"(screenplay)  <1,2,1>",screenplay
1677631,66835,"(story ""The Sentinel"") (uncredited)  <2,1,1>",story
1677631,198001,"(screenplay)  <1,1,1>",screenplay
1678036,66835,"(novel)  <1,1,1>",novel
1678036,166193,"(screenplay)  <2,1,1>",screenplay
1678591,118797,(written by),written by
1678591,240309,(written by),written by
1679029,137279,"(written by)  <1,1,1>",written by
1679461,239785,"(written by)  <1,1,1>",written by
1679461,286124,"(written by)  <1,1,2>",written by
1679507,290403,"(written by)  <1,1,1>",written by
1679920,174881,"(poem) (uncredited)  <2,1,1>",poem
1679920,208364,"<1,1,1>",
1681633,210123,"(novel)  <1,1,1>",novel
1681633,210123,"(screenplay)  <2,1,1>",screenplay
1681633,349907,"(screenplay)  <2,2,1>",screenplay
1681655,65134,"(written by)  <1,1,1>",written by
1682630,216083,(screenplay),screenplay
1682657,327668,"(written by)  <1,1,1>",written by
1682692,242954,"(written by)  <1,1,1>",written by
1682746,138404,(writer),writer
1682922,384562,"(written by)  <1,1,1>",written by
1684201,228556,,
1684430,276473,"(play)  <1,1,1>",play
1684430,276473,"(screenplay)  <2,1,1>",screenplay
1684442,312617,"(play)  <1,1,1>",play
1684442,312617,"(screenplay)  <2,1,1>",screenplay
1684486,36434,(additional writer: story),additional writer
1684486,183325,(additional writer: story),additional writer
1684486,191888,(additional writer: story),additional writer
1684486,204703,"(original story by)  <1,1,1>",original story by
1684486,209773,(additional writer: story),additional writer
1684486,237701,"(screenplay) (as Donald McEnery)  <2,2,1>",screenplay
1684486,299023,"(original story by)  <1,3,1>",original story by
1684486,303934,(additional writer: story),additional writer
1684486,333627,"(screenplay)  <2,2,2>",screenplay
1684486,348082,"(original story by)  <1,2,1>",original story by
1684486,348082,"(screenplay)  <2,1,1>",screenplay
1684910,363099,,
1685241,50053,"(screen play)  <2,1,1>",screen play
1685241,91091,"(as Charles Dickens' Christmas Carol)  <1,1,1>",
1685309,45596,"(screenplay)  <2,1,2>",screenplay
1685309,66461,"(screenplay)  <2,1,3>",screenplay
1685309,334476,"(based on the novel ""In God We Trust, All Others Pay Cash"" by)  <1,1,1>",
1685309,334476,"(screenplay)  <2,1,1>",screenplay
1685405,149087,"(book)  <1,1,1>",book
1685405,403443,"(screenplay)  <2,1,1>",screenplay
1685463,48551,"(novel)  <2,1,1>",novel
1685463,198001,"(screenplay)  <1,1,1>",screenplay
1685493,18859,"(written by)  <1,1,1>",written by
1685493,278282,"(written by)  <1,1,2>",written by
1685815,171185,"(novel ""Dance Real Slow"")  <1,1,1>",novel
1685815,237643,"(screenplay)  <2,1,1>",screenplay
1686071,28798,,
1686209,49232,(contributing writer) (uncredited),contributing writer
1686209,151809,"(uncredited) (play)  <2,1,2>",uncredited
1686209,205207,"(screen play)  <1,1,3>",screen play
1686209,275376,"(screen play)  <1,1,2>",screen play
1686209,396607,"(from the story by)  <2,1,1>",from the story by
1686209,396607,"(screen play)  <1,1,1>",screen play
1686209,396607,"(uncredited) (play)  <2,1,1>",uncredited
1686209,397102,(contributing writer) (uncredited),contributing writer
1687181,44216,"(screenplay)  <2,1,1>",screenplay
1687181,274275,"(story)  <1,1,1>",story
1687181,339047,"(screenplay)  <2,1,2>",screenplay
1687191,113729,(comic strip Mutt and Jeff),comic strip Mutt and Jeff
