movieid,time,addition,time1,addition1
1672052,107,,107,
1672111,108,,108,
1672580,113,,113,
1672716,96,,96,
1673647,140,,140,
1673647,125,(cut version),125,cut version
1673658,98,,98,
1673848,97,,97,
1674388,103,,103,
1674737,96,,96,
1677011,104,,104,
1677258,87,,87,
1677346,87,,87,
1677472,18,,18,
1677516,101,,101,
1677631,141,,141,
1677631,160,(premiere cut),160,premiere cut
1678036,116,,116,
1678591,96,,96,
1679029,103,,103,
1679461,93,,93,
1679507,82,,82,
1679920,100,,100,
1681633,110,,110,
1681655,93,,93,
1681655,100,(extended cut),100,extended cut
1682630,90,(original version),90,original version
1682657,95,,95,
1682692,105,,105,
1682746,118,,118,
1682922,123,,123,
1684201,97,,97,
1684430,121,,121,
1684442,92,,92,
1684486,95,,95,
1684910,72,,72,
1685241,69,,69,
1685309,94,,94,
1685405,115,,115,
1685463,136,,136,
1685493,30,,30,
1685815,97,,97,
1686071,105,,105,
1686209,101,,101,
1687181,100,,100,
1687181,96,,96,
1687181,96,,96,
1687181,100,,100,
1687544,126,,126,
1687544, 104,,104,
1687685,109,,109,
1687730,100,,100,
1687730,105,,105,
1687730,107,,107,
1687730,105,,105,
1687730,108,,108,
1687738,80,,80,
1687738,83,,83,
1687738,79,(DVD version),79,DVD version
1687738,89,(original version),89,original version
1687905,138,,138,
1688103,108,,108,
1688565,96,,96,
1688565,96,,96,
1689117,94,,94,
1689183,78,,78,
1689210,23,,23,
1689263,60,,60,
1689475,87,,87,
1690318,89,,89,
1690377,110,,110,
1690377,105,,105,
1690377,105,,105,
1690616,128,,128,
1690710,89,,89,
1690710,90,(DVD),90,DVD
1690773,103,,103,
1690958,84,,84,
1690958,96,,96,
1691077,97,,97,
1691387,100,,100,
1691642,120,,120,
1691685,98,,98,
1691685,99,,99,
1691685,99,,99,
1691793,125,,125,
1692173,116,,116,
1692404,90,,90,
1692580,92,,92,
1692580,85,,85,
1693225,82,,82,
1693305,123,,123,
1693305,114,,114,
1693341,91,,91,
1693345,96,,96,
1693345,88,(cut version),88,cut version
1693346,93,,93,
1693346,99,(DVD),99,DVD
1693347,87,,87,
1693348,89,,89,
1693818,105,,105,
1693861,107,,107,
1693880,138,,138,
